Unique ID,name,street,city,province,postal,X,Y
12626,Sandycove Drug Store,902 LOCKHART RD,INNISFIL,Ontario,L9S 4V2,44.3529639,-79.5533284
12686,Exmouth Pharmacy,500 Exmouth Pharmacy,Sarnia,Ontario,N7T 5P4,42.9861237,-82.3877322
12693,Northville Pharmacy,300 Grand River St N.,Paris,Ontario,N3L 3R7,43.2104515,-80.3898967
12837,Abbeywood Pharmacy,1395 Abbeywood Dr,Oakville,Ontario,L6M 3B2,43.4313807,-79.7261518
12857,Stoney Creek Pharmacy,770 South wenige Drive,London,Ontario,N5X 0H7,43.0491718,-81.2529905
12893,Merritton Community Pharmacy,491 Merritt St.,St. Catharines,Ontario,L2P 1P2,43.1458106,-79.2147205
12903,Stevensville Pharmacy,2763 Stevensville Rd,Stevensville,Ontario,L0S 1S0,42.9501193,-79.0555897
13022,Town Care Pharmacy,60 Town Centre Court,Toronto,Ontario,M1P 0B1,43.7735018,-79.2560806
13026,Scarborough Discount Pharmacy,1375 Danforth Road,Toronto,Ontario,M1J 1G7,43.7441745,-79.2441017
13034,Seamless Care Pharmacy,15 GRAND MARSHALL DR,Toronto,Ontario,M1B 5N6,43.8001824,-79.1949634
13060,Ash Medical Pharmacy,2900 Eglinton Ave. E.,Toronto,Ontario,M1J 2E4,43.7393686,-79.2379823
13082,Elgin Mills Crossing Pharmacy,10 John Birchall Rd,Richmond Hill,Ontario,L4S 0B2,43.8999517,-79.3929476
13107,Janedal Pharmacy,965 Jane Street,Toronto,Ontario,M6N 4E1,43.6807439,-79.4972465
13113,Health Corner Pharmacy,2173 Victoria Park Ave.,Toronto,Ontario,M1R 1V5,43.758913,-79.3150402
13120,Spark Pharmacy,535 park st,kitchener,Ontario,N2G 1N8,43.4563041,-80.5156722
13133,Mi Clinic Pharmacy,5055 Plantation Place,Mississauga,Ontario,L5M 6J3,43.5528871,-79.7156708
13135,Falconer Pharmacy,6675 Falconer Dr,Mississauga,Ontario,L5N 0C3,43.6059624,-79.7282762
13163,North Medafix Pharmacy,6905 Millcreek Drve,Mississauga,Ontario,L5N 6A3,43.5960923,-79.7567231
13177,Family Health Pharmacy - Novacare,1275 Walker Rd,Windsor,Ontario,N8Y 4X9,42.3142106,-83.0026026
13187,Canotek Pharmacy,5360 Canotek Rd,Gloucester,Ontario,K1J 9E5,45.4547395,-75.5836579
13192,Canadian Drug Mart,200 WELLINGTON ST W.,Barrie,Ontario,L4N 1K9,44.3854117,-79.7069936
13194,Medi Plus Pharmacy,51 MCMURCHY AVENUE S,BRAMPTON,Ontario,L6Y 1Y5,43.6784549,-79.7625238
10145,Doon Mills Pharmacy,260 Doon South Drive,Kitchener,Ontario,N2P 2L8,43.382003,-80.427687
10339,Forest Hill Pharmacy,720 Westmount Rd E,Kitchener,Ontario,N2E 2M6,43.418579,-80.500226
10412,Kennedy Road Pharmacy,2 ANTRIM CRESCENT,Toronto,Ontario,M1P 2N3,43.7719998,-79.2839453
10420,Glendower Pharmacy,331 glendower Circuit,Toronto,Ontario,M1T 2Z7,43.7974903,-79.3049449
10463,Pulse IDA Pharmacy,11755 Bramalea Road,Brampton,Ontario,L6R 3S9,43.7715283,-79.7784824
10502,Innomar Specialty Pharmacy,3250 HARVESTER ROAD,Burlington,Ontario,L7N 3W9,43.3560774,-79.7931716
10802,Medisystem Pharmacy,5700 Keaton cres,Mississauga,Ontario,L9T 8M3,43.6117798,-79.6801274
10902,Wallaceburg Pharmacy,1044 Dufferin Ave,Wallaceburg,Ontario,N8A 2V8,42.5932704,-82.3938942
10908,People's Pharma Choice,30 Rymal Road East,Hamilton,Ontario,L9B 1T7,43.201882,-79.8920772
11107,Pharmasave Waterdown Village Pharmacy,287 Dundas St E,Waterdown,Ontario,L0R 2H6,43.3318746,-79.895116
11121,Trust Care Pharmasave,1020 St. Laurent Blvd,Ottawa,Ontario,K1K 4S2,45.4273797,-75.6396049
11151,Carriage Crossing Pharmacy (Pharmasave),105 Oak Park Drive,Waterloo,Ontario,N2K 0B3,43.5216075,-80.4983388
11184,Pharmasave,290 Dundas street West,Trenton,Ontario,K8V 3R9,44.0975453,-77.5871498
11247,Pharmasave Sally's Pharmacy,1565 16TH ST. EAST,Owen Sound,Ontario,N4K 5N3,44.5742698,-80.9170824
11255,Marsellus Pharmacy,2 Marsellus Drive,Barrie,Ontario,L4N 0Y4,44.3387349,-79.7207947
11265,Pharmasave Cedarcourt Pharmacy,3480 LAWRENCE AVE EAST,Toronto,Ontario,M1H 1A9,43.7597868,-79.2270078
11283,West Hill Pharmasave,4218 Lawrence Ave E,Toronto,Ontario,M1E 4X9,43.7693619,-79.184867
11285,Davisville Pharmacy,1901 Yonge St,Toronto,Ontario,M4S 1Y6,43.6980224,-79.3963135
11371,Westminster Square Remedy's Rx,33 Farley Dr,Guelph,Ontario,N1L 0B7,43.502844,-80.187454
11396,Everett Pharmacy,8069 Main Street,Everett,Ontario,L0M 1J0,44.1915155,-79.9364882
11457,Grand Pharmacy,304 ST. ANDREWS ST.,Cambridge,Ontario,N1S 1P3,43.343828,-80.332063
11965,Shoppers Drug Mart,1900 Mosley St.,Wasaga Beach,Ontario,L9Z 1Z3,44.47489,-80.07529
12013,Shoppers Drug Mart,265 MAIN ST EAST,Milton,Ontario,L9T 1P1,43.514378,-79.881884
12446,Specialty Rx,2060 Ellesmere Road,Toronto,Ontario,M1H 2V6,43.776167,-79.2344097
12621,First Ave Pharmacy,24 First Ave,St. Thomas,Ontario,N5R 4M5,42.7756458,-81.1751632
12669,Pharmacy Corner - Woodstock,300 MAIN STREET,Woodstock,Ontario,N4S 1T3,43.1259232,-80.7641012
