name,street,city,postal,date,link
2490 Gerrard St. East - Sobeys,2490 Gerrard St. East,"Scarborough, ON",M1N 1W8,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
2650 Lawrence Avenue E - Sobeys,2650 Lawrence Avenue E,"Scarborough, ON",M1P 2S1,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1900 Eglinton Ave East - Walmart,1900 Eglinton Avenue East,"Scarborough , ON",M1L 2L9,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
3850 Sheppard Avenue East - Walmart,3850 Sheppard Avenue East,"Scarborough , ON",M1T 3L4,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
5995 Steeles Avenue East - Walmart,5995 Steeles Avenue East,"Scarborough , ON",M1V 5P6,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Birchmount Pharmasave,462 Birchmount Road,"Scarborough, ON",M1K 1N8,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Orton Park Guardian Pharmacy ,136 Orton Park Road,"Scarborough, ON",M1G 3H1,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Pharmasave Cedarcourt Pharmacy,3480 Lawrence Avenue East,"Scarborough, ON",M1H 1A9,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Lawrence Pharmacy,2683 Lawrence Ave E,"Scarborough, ON",M1P 2S2,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Kennedy Road Pharmacy ,"2 Antrim Crescent, Unit 4","Scarborough, ON",M1P 2N3,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
People's Choice RemedysRx,1145 Morningside Ave. Unit#16,"Scarborough, ON",M1B 0A7,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Health Check Pharmacy Pharmasave ,,"Scarborough , ON",M1X 1E6,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Victoria Commons Pharmacy,"2555 Victoria Park Ave, Unit 6","Scarborough, ON",M1T 1A3,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
