CFSAUID,PRUID,PRNAME,all_pharmacies,covid_vaccine_pharmacies,covid_pharms
J9H,"24",Quebec / Québec,"0","0",0.000
J9L,"24",Quebec / Québec,"0","0",0.000
J9T,"24",Quebec / Québec,"0","0",0.000
J9X,"24",Quebec / Québec,"0","0",0.000
J9Y,"24",Quebec / Québec,"0","0",0.000
J9Z,"24",Quebec / Québec,"0","0",0.000
K0A,"35",Ontario,"32","2",2.000
K0B,"35",Ontario,"7","0",0.000
K0C,"35",Ontario,"20","1",1.000
K0E,"35",Ontario,"10","0",0.000
K0G,"35",Ontario,"17","0",0.000
K0H,"35",Ontario,"11","5",5.000
K0J,"35",Ontario,"14","0",0.000
K0K,"35",Ontario,"35","1",1.000
K0L,"35",Ontario,"23","2",2.000
K0M,"35",Ontario,"25","0",0.000
K1B,"35",Ontario,"5","0",0.000
K1C,"35",Ontario,"12","2",2.000
K1E,"35",Ontario,"5","0",0.000
K1G,"35",Ontario,"16","0",0.000
K1H,"35",Ontario,"13","1",1.000
K1J,"35",Ontario,"13","2",2.000
K1K,"35",Ontario,"14","0",0.000
K1L,"35",Ontario,"10","0",0.000
K1M,"35",Ontario,"1","0",0.000
K1N,"35",Ontario,"13","1",1.000
K1P,"35",Ontario,"2","0",0.000
L9R,"35",Ontario,"10","1",1.000
L9S,"35",Ontario,"7","2",2.000
L9T,"35",Ontario,"31","4",4.000
L9V,"35",Ontario,"5","1",1.000
L9W,"35",Ontario,"18","2",2.000
L9Y,"35",Ontario,"14","1",1.000
L8V,"35",Ontario,"16","1",1.000
L8W,"35",Ontario,"10","1",1.000
V8S,"59",British Columbia / Colombie-Britannique,"0","0",0.000
V8T,"59",British Columbia / Colombie-Britannique,"0","0",0.000
M1P,"35",Ontario,"29","5",5.000
M1R,"35",Ontario,"19","4",4.000
K2K,"35",Ontario,"6","0",0.000
M2N,"35",Ontario,"22","6",6.000
M2P,"35",Ontario,"2","0",0.000
M2R,"35",Ontario,"11","2",2.000
M3A,"35",Ontario,"6","2",2.000
V8V,"59",British Columbia / Colombie-Britannique,"0","0",0.000
V8W,"59",British Columbia / Colombie-Britannique,"0","0",0.000
V8X,"59",British Columbia / Colombie-Britannique,"0","0",0.000
V8Y,"59",British Columbia / Colombie-Britannique,"0","0",0.000
V8Z,"59",British Columbia / Colombie-Britannique,"0","0",0.000
V9B,"59",British Columbia / Colombie-Britannique,"0","0",0.000
V9C,"59",British Columbia / Colombie-Britannique,"0","0",0.000
V9E,"59",British Columbia / Colombie-Britannique,"0","0",0.000
V9G,"59",British Columbia / Colombie-Britannique,"0","0",0.000
V9H,"59",British Columbia / Colombie-Britannique,"0","0",0.000
V9J,"59",British Columbia / Colombie-Britannique,"0","0",0.000
V9K,"59",British Columbia / Colombie-Britannique,"0","0",0.000
V9L,"59",British Columbia / Colombie-Britannique,"0","0",0.000
V9N,"59",British Columbia / Colombie-Britannique,"0","0",0.000
V9P,"59",British Columbia / Colombie-Britannique,"0","0",0.000
V9W,"59",British Columbia / Colombie-Britannique,"0","0",0.000
V9X,"59",British Columbia / Colombie-Britannique,"0","0",0.000
K2L,"35",Ontario,"7","1",1.000
K2M,"35",Ontario,"4","2",2.000
K2P,"35",Ontario,"8","0",0.000
K2R,"35",Ontario,"0","0",0.000
L2P,"35",Ontario,"4","0",0.000
L2R,"35",Ontario,"21","0",0.000
L2S,"35",Ontario,"10","1",1.000
K6J,"35",Ontario,"7","0",0.000
K6K,"35",Ontario,"0","0",0.000
K6T,"35",Ontario,"0","0",0.000
K7H,"35",Ontario,"6","1",1.000
K7K,"35",Ontario,"22","13",13.000
K7L,"35",Ontario,"12","4",4.000
K7M,"35",Ontario,"22","12",12.000
K7N,"35",Ontario,"5","3",3.000
K7P,"35",Ontario,"6","5",5.000
K7R,"35",Ontario,"13","4",4.000
K7S,"35",Ontario,"5","1",1.000
K7V,"35",Ontario,"6","1",1.000
K8A,"35",Ontario,"12","1",1.000
K8B,"35",Ontario,"0","0",0.000
K8H,"35",Ontario,"5","0",0.000
K8N,"35",Ontario,"16","1",1.000
K8P,"35",Ontario,"10","0",0.000
V9A,"59",British Columbia / Colombie-Britannique,"0","0",0.000
V9Y,"59",British Columbia / Colombie-Britannique,"0","0",0.000
X0A,"62",Nunavut,"0","0",0.000
V9M,"59",British Columbia / Colombie-Britannique,"0","0",0.000
L2T,"35",Ontario,"7","1",1.000
L6X,"35",Ontario,"17","0",0.000
L6Y,"35",Ontario,"36","2",2.000
L4E,"35",Ontario,"14","2",2.000
L4G,"35",Ontario,"23","4",4.000
L4N,"35",Ontario,"51","6",6.000
L4S,"35",Ontario,"10","1",1.000
V9R,"59",British Columbia / Colombie-Britannique,"0","0",0.000
V9S,"59",British Columbia / Colombie-Britannique,"0","0",0.000
L6Z,"35",Ontario,"12","2",2.000
M1S,"35",Ontario,"18","2",2.000
M1T,"35",Ontario,"16","6",6.000
L7T,"35",Ontario,"8","0",0.000
L8E,"35",Ontario,"19","3",3.000
L8G,"35",Ontario,"18","1",1.000
L8H,"35",Ontario,"11","0",0.000
L8J,"35",Ontario,"12","1",1.000
L8K,"35",Ontario,"10","0",0.000
L8L,"35",Ontario,"17","0",0.000
L8M,"35",Ontario,"11","0",0.000
V9T,"59",British Columbia / Colombie-Britannique,"0","0",0.000
V9V,"59",British Columbia / Colombie-Britannique,"0","0",0.000
M1V,"35",Ontario,"28","5",5.000
K2S,"35",Ontario,"7","1",1.000
K2T,"35",Ontario,"2","2",2.000
K2V,"35",Ontario,"1","1",1.000
R8N,"46",Manitoba,"0","0",0.000
L9J,"35",Ontario,"0","0",0.000
L9K,"35",Ontario,"2","0",0.000
M3B,"35",Ontario,"4","0",0.000
M3C,"35",Ontario,"12","3",3.000
M3H,"35",Ontario,"19","4",4.000
