name,street,city,postal,province,full_address,X,Y,date,link
2330 Kennedy Rd. - Shoppers Drug Mart,2330 Kennedy Rd.,"Scarborough , ON",M1T 3H1,Ontario,"2330 Kennedy Rd. Scarborough , ON M1T 3H1",43.7838577,-79.2893272,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
681 Silver Star Boulevard - Loblaw,681 Silver Start Boulevard,"Scarborough , ON",M1V 5N1,Ontario,"681 Silver Start Boulevard Scarborough , ON M1V 5N1",43.8238401,-79.2988429,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1411 Warden Ave - Costco,1411 Warden Ave,"Scarborough , ON",M1R 2S3,Ontario,"1411 Warden Ave Scarborough , ON M1R 2S3",43.7594111,-79.2976102,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
5671 Steeles Ave. East - Shoppers Drug Mart,5671 Steeles Ave. East,"Scarborough , ON",M1V 5P6,Ontario,"5671 Steeles Ave. East Scarborough , ON M1V 5P6",43.833179,-79.26532,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
265 Port Union Rd. - Shoppers Drug Mart,265 Port Union Rd.,"Scarborough , ON",M1C 2L3,Ontario,"265 Port Union Rd. Scarborough , ON M1C 2L3",43.7890134,-79.1397278,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
85 Ellesmere Rd. - Shoppers Drug Mart,85 Ellesmere Road Unit 31,"Scarborough , ON",M1R 4B7,Ontario,"85 Ellesmere Road Unit 31 Scarborough , ON M1R 4B7",43.7570595,-79.3134587,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
2999 Kingston Rd. - Shoppers Drug Mart,2999 Kingston Rd.,"Scarborough , ON",M1M 1P1,Ontario,"2999 Kingston Rd. Scarborough , ON M1M 1P1",43.7252846,-79.2305937,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
3607 Sheppard Avenue East - Rexall,3607 Sheppard Avenue East,"Scarborough, ON",M1T 3K8,Ontario,"3607 Sheppard Avenue East Scarborough, ON M1T 3K8",43.7804383,-79.2982782,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
2901 Sheppard Ave. East - Shoppers Drug Mart,2901 Sheppard Ave. East,"Scarborough , ON",M1T 3J3,Ontario,"2901 Sheppard Ave. East Scarborough , ON M1T 3J3",43.7750524,-79.3223314,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
3401 Lawrence Ave East - Loblaw,3401 Lawrence Avenue East,"Scarborough , ON",M1H 1B2,Ontario,"3401 Lawrence Avenue East Scarborough , ON M1H 1B2",43.7575482,-79.2304055,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
300 Borough Dr. - Shoppers Drug Mart,300 Borough Dr.,"Scarborough , ON",M1P 4P5,Ontario,"300 Borough Dr. Scarborough , ON M1P 4P5",43.7757281,-79.2574487,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1450 Lawrence Ave East -Loblaw,1450 LAWRENCE AVE E,"Scarborough , ON",M4A 2S8,Ontario,"1450 LAWRENCE AVE E Scarborough , ON M4A 2S8",43.7424568,-79.3108174,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
