,DBUID,DBPOP,DAUID,DAPOP,CSDUID,CSDNAME,CSDTYPE,CSDPOP,CMAUID,CMAPUID,CMANAME,CMATYPE,CMAPOP,PRUID,PRNAME,PRPOP,lon,lat,in_db_emp,prox_idx_emp,in_db_pharma,prox_idx_pharma,in_db_childcare,prox_idx_childcare,in_db_health,prox_idx_health,in_db_grocery,prox_idx_grocery,in_db_educpri,prox_idx_educpri,in_db_educsec,prox_idx_educsec,in_db_lib,prox_idx_lib,in_db_parks,prox_idx_parks,in_db_transit,prox_idx_transit,transit_na,amenity_dense,suppressed
187598,35200720001,220,35200720,562,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3337,43.6807,1,0.1889,0,0.1082,0,0.2455,1,0.0456,0,0.1914,0,0.2419,0,0.3052,0,0.1504,0,0.0733,1,0.0306,0,2,0
187599,35200720002,161,35200720,562,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3363,43.6802,1,0.2165,0,0.1435,1,0.2979,1,0.0502,1,0.3539,0,0.286,0,0.2742,0,0.1887,0,0.1056,1,0.0531,0,2,0
187600,35200720004,95,35200720,562,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3389,43.6799,1,0.2162,0,0.1885,0,0.2742,1,0.0517,0,0.3094,0,0.3437,0,0.2967,0,0.2829,0,0.1362,1,0.072,0,2,0
187601,35200720005,86,35200720,562,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3387,43.6795,1,0.2096,0,0.1729,0,0.2657,0,0.048,0,0.2587,0,0.3188,0,0.2929,0,0.2664,0,0.1285,0,0.0628,0,2,0
187602,35200724001,148,35200724,623,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3358,43.6857,1,0.1749,0,0.0425,0,0.3763,1,0.0451,0,0.1108,0,0.2752,0,0.2161,0,0.1104,0,0.0404,0,0.0366,0,1,0
187603,35200724002,127,35200724,623,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3367,43.6855,1,0.1752,0,0.0424,1,0.3787,0,0.0451,0,0.1108,0,0.2752,0,0.2161,0,0.1104,0,0.0404,0,0.0403,0,1,0
187604,35200724003,146,35200724,623,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3376,43.6853,1,0.1752,0,0.0504,0,0.3331,0,0.0466,0,0.0896,0,0.2996,0,0.2185,0,0.1597,0,0.0442,0,0.0403,0,2,0
187605,35200724004,202,35200724,623,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3387,43.6851,1,0.1823,0,0.0603,1,0.3835,0,0.0421,0,0.1046,0,0.2806,0,0.1902,0,0.115,0,0.0622,1,0.0477,0,2,0
187606,35200725001,317,35200725,638,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3415,43.685,1,0.1991,0,0.0971,1,0.396,0,0.049,0,0.1516,0,0.3235,0,0.1381,0,0.1345,1,0.1462,0,0.0616,0,2,0
187607,35200725002,118,35200725,638,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3401,43.6846,1,0.1897,0,0.0928,1,0.4088,0,0.0464,0,0.1504,0,0.3024,0,0.1598,0,0.0796,0,0.1182,0,0.0643,0,1,0
187608,35200725003,43,35200725,638,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.34,43.6842,1,0.1909,0,0.083,0,0.3536,1,0.0463,0,0.1418,0,0.3048,0,0.1725,0,0.0854,0,0.0981,1,0.0623,0,1,0
